guessed_brand_name,product_count,parent_company,source_note,match_type
Gabagesic,11,,,
Gabalip,5,,,
Gabamax,8,,,
Gabaneuron,11,,,
Gabantin,11,,,
Gabanyl,7,,,
Gabapax,9,,,
Gabapin,18,,,
Gabarich,5,,,
Gabastone,5,,,
Gabator,8,,,
Gabawin,10,,,
Gabivam,10,,,
Gabtan,5,,,
Gala,8,,,
Galact,9,,,
Galega,11,,,
Galitz,6,,,
Galop,5,,,
Gardenal,6,,,
Garnier,126,,,
Gas,8,,,
Gasex,5,,,
Gate,6,,,
Gatilox,6,,,
Gatsby,21,,,
Gauze,14,,,
Gb,15,,,
Gcomet,5,,,
Gelusil,5,Pfizer Ltd,Pfizer brand,exact
Gemcal,13,,,
Gemer,27,,,
Geminor,17,,,
Gemmin,5,,,
Geniride,9,,,
Genius,9,,,
Genticyn,7,,,
Genxrose,7,,,
Geomax,6,,,
Gepride,12,,,
Geripod,9,,,
Gestofit,11,,,
Gestone,6,,,
Gi,6,,,
Gibtulio,10,,,
Gillette,105,,,
Ginkocer,6,,,
Gladmet,11,,,
Glador,11,,,
Glamor,6,,,
Glaritus,5,,,
Glazimep,11,,,
Glempa,5,,,
Glevo,6,,,
Gliben,9,,,
Glicla,6,,,
Glide,7,,,
Glidivas,6,,,
Glido,7,,,
Glifoprime,6,,,
Glimaday,8,,,
Glimberry,5,,,
Glimcare,6,,,
Glimecaid,7,,,
Glimed,7,,,
Glimer,5,,,
Glimeshine,5,,,
Glimestar,21,,,
Glimfirst,12,,,
Glimgold,10,,,
Glimi,10,,,
Glimibrit,11,,,
Glimicer,11,,,
Glimicord,7,,,
Glimicure,12,,,
Glimigen,9,,,
Glimilax,5,,,
Glimilife,6,,,
Glimimark,7,,,
Gliminac,5,,,
Gliminyle,19,,,
Glimipack,9,,,
Glimiprex,14,,,
Glimiprime,19,,,
Glimirep,10,,,
Glimisave,40,,,
Glimison,10,,,
Glimitos,13,,,
Glimp,8,,,
Glimpevan,5,,,
Glimpure,5,,,
Glimsay,11,,,
Glimser,6,,,
