guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Ethilon,Unlinked,21,Ethilon Nw 5 0 3316 90cm,LOW,None,,
Anne,Unlinked,21,Anne French Cream Floral 40gms Jar Cream,LOW,None,,
Betadine,Unlinked,21,Betadine Antiseptic 10gm Cream,LOW,None,,
Elovera,Unlinked,21,Elovera 150gm Cream,LOW,None,,
Dolo,Micro Labs,21,Dolo Drops,HIGH,Verified Pharma Trade DB,,
Meechu,Unlinked,21,Meechu Kids Bubblegum Toothpaste 80gm Gel,LOW,None,,
Lactodex,Unlinked,21,Lactodex 1 Starter Infant Formula 450gm,LOW,None,,
Romsons,Unlinked,21,Romsons Knee Cap Size L,LOW,None,,
Glimestar,Unlinked,21,Glimestar 1mg Tab,LOW,None,,
Tellzy,Unlinked,21,Tellzy 20mg Tab,LOW,None,,
3,Unlinked,20,3 0 Prolene Nw 825 3 0,LOW,None,,
Nmf,Unlinked,20,Nmf 60gm Cream N.m.0001,LOW,None,,
Nu,Unlinked,20,Nu 36 Cap Nu 30002,LOW,None,,
Tri,Unlinked,20,Tri Azulix 1mg Tab Tri 0003,LOW,None,,
Hi,Unlinked,20,Hi Aid Wash Proof Band Aid,LOW,None,,
Parle,Unlinked,20,Parle G Gluco 80gm Biscuits,LOW,None,,
Boric,Unlinked,20,Boric Acid 100gm Ajmera Pharma,LOW,None,,
Swirls,Unlinked,20,Swirls 2 1 Zig Zag Tooth Brush,LOW,None,,
Surgical,Unlinked,20,Surgical Spirit 5lt Can,LOW,None,,
Atorsave,Unlinked,20,Atorsave Cv 10mg Cap,LOW,None,,
Pregalin,Unlinked,20,Pregalin 150mg Cap,LOW,None,,
Solvin,Unlinked,20,Solvin Vapocaps Cap,LOW,None,,
Moiz,Unlinked,20,Moiz 50gm Hydrating Glowderma Cream,LOW,None,,
Mahacef,Unlinked,20,Mahacef 10ml Drops,LOW,None,,
Neutrogena,Unlinked,20,Neutrogena Combi Skin Moisture 118ml General,LOW,None,,
Glycerin,Unlinked,20,Glycerin 100gm Medismith,LOW,None,,
Cyblex,Unlinked,20,Cyblex 30 Xr Tab,LOW,None,,
Glitaray,Unlinked,20,Glitaray 1mg Tab,LOW,None,,
Glucreta,Unlinked,20,Glucreta 10mg Tab,LOW,None,,
Telvas,Unlinked,20,Telvas 20mg Tab,LOW,None,,
New,Unlinked,19,New Meek Clavicle Brace Adult New,LOW,None,,
Resource,Unlinked,19,Resource Activ Vanilla Flavour 400gm Bib,LOW,None,,
Campa,Unlinked,19,Campa Energy Cola Kick 150ml Pet Bottle,LOW,None,,
Lipicure,Unlinked,19,Lipicure As 150mg Cap,LOW,None,,
Nutrova,Unlinked,19,Nutrova Caroshield 30s Cap,LOW,None,,
Polybion,Unlinked,19,Polybion Cap,LOW,None,,
Renerve,Dr. Reddy's Laboratories,19,Renerve Bt Cap,HIGH,Verified Pharma Trade DB,,
Rosycap,Unlinked,19,Rosycap Gold 20 150mg Cap,LOW,None,,
Odomos,Unlinked,19,Odomos Universal Liquid Vaporizer Machine Refill 45ml Combo,LOW,None,,
Cosvate,Unlinked,19,Cosvate G,LOW,None,,
Aquasoft,Unlinked,19,Aquasoft 150gm Cream,LOW,None,,
Drez,Unlinked,19,Drez V 30gm Cream,LOW,None,,
Cefolac,Unlinked,19,Cefolac 10ml Drops,LOW,None,,
Asthalin,Cipla,19,Asthalin New 100ml Expectorant,HIGH,Verified Pharma Trade DB,,
Nycil,Unlinked,19,Nycil Classic Soothing N Cooling Powder 150gm,LOW,None,,
Old,Unlinked,19,Old Spice Lather Shaving Cream Fresh Lime 30gm Old,LOW,None,,
Tiptop,Unlinked,19,Tiptop Badam 100gm,LOW,None,,
Ors,Alkem Laboratories,19,Ors Novo Apple Who 200ml Liquid,MEDIUM,URL Manufacturer Slug,,
Sitaxa,Unlinked,19,Sitaxa Em 25 100,LOW,None,,
Gliminyle,Unlinked,19,Gliminyle 1mg Tab,LOW,None,,
Glimiprime,Unlinked,19,Glimiprime 1mg Tab,LOW,None,,
Gzor,Unlinked,19,Gzor 1mg Tab,LOW,None,,
Obimet,Unlinked,19,Obimet 250mg Tab,LOW,None,,
Rosuvas,Sun Pharmaceutical Industries,19,Rosuvas 10mg Tab,HIGH,Verified Pharma Trade DB,,
Telmed,Unlinked,19,Telmed 20mg Tab,LOW,None,,
Telmsvan,Unlinked,19,Telmsvan 20mg Tab,LOW,None,,
Telpres,Unlinked,19,Telpres 20mg Tab,LOW,None,,
Iv,Unlinked,18,Iv Cannula No 18 I.v.0001,LOW,None,,
Duracell,Unlinked,18,Duracell Chhota Power Aaa,LOW,None,,
